eta_0,chi_eff_0,eta_4,chi_eff_4,eta_8,chi_eff_8
0.12335996046161925,-0.5873978341199829,0.1225719563504855,-0.2729627517783378,0.12282118601178009,-0.08448937649492057
0.12472328913117706,-0.5832402072561088,0.12333750154955288,-0.26872213150137736,0.12320026195473545,-0.08201647946912105
0.12612390711484417,-0.5789364227978508,0.12411118259932162,-0.26446527692995514,0.12357578879485462,-0.07956226916478647
0.1275592340433701,-0.5747555630508965,0.12490177287793688,-0.2601709240488519,0.12397338481104629,-0.07697722970532025
0.12901385025382944,-0.5706041596616317,0.1257004842473886,-0.2557807878765265,0.12438377773777226,-0.07429861237068087
0.13048044268922968,-0.5665006101011605,0.12651676557776984,-0.25137348678108207,0.12479915651949043,-0.07160949957496392
0.13198663776307507,-0.5624321277615134,0.12734708504452147,-0.2469386996146317,0.12521493246868137,-0.06889724012580126
0.13351559088952838,-0.5583622547776259,0.12821467088636238,-0.2424307349999946,0.12564063833696998,-0.06617820202532287
0.13506051065095823,-0.5542958288337673,0.12909057448077157,-0.23788128313134482,0.12606513241642045,-0.06344459146845163
0.1366409826483918,-0.5502023064340676,0.1299805902478201,-0.23326080305676614,0.1265088535125192,-0.06058262523259376
0.138249120949025,-0.5461468598003946,0.13089489356192258,-0.2285083280473991,0.12695717322412386,-0.05770620907648123
0.13986338017809158,-0.5421201729954446,0.13183640277100375,-0.22369364057941524,0.12741511377447318,-0.054776570886378204
0.1415315328949082,-0.5380414987510272,0.13279757598221062,-0.21893821084584836,0.12787448051872144,-0.05182496754564649
0.1432362907886997,-0.5339826083229123,0.13376175761977227,-0.21419722366018948,0.1283393703692717,-0.04886799874381622
0.14497033109245788,-0.5299407311538089,0.13473540320678204,-0.20941663775022015,0.12881158067074158,-0.04590670872734581
0.146760862291898,-0.5259424698360821,0.13575496480305227,-0.2045042333818313,0.12930609329586912,-0.042751984141322995
0.14857674293486214,-0.5219543050170413,0.13678056737693722,-0.1995180337119517,0.12979137254042952,-0.039713292449705916
0.1504140185322483,-0.5179051338001308,0.13782659468488845,-0.19446600782097492,0.13029396299556523,-0.036535431418779234
0.15229394908505792,-0.5140985317434914,0.13887776481003247,-0.1895081238791864,0.13080339869590268,-0.0333713947246948
0.1541968895493405,-0.510326265055641,0.1399373554640133,-0.1844446535675509,0.13131506493491715,-0.030179608046305942
0.15617845247689072,-0.5064073742699188,0.1410149602303939,-0.17943703201280828,0.13184730140999204,-0.026890877595141516
0.15817828134567322,-0.5025755359363385,0.1421223957210621,-0.174342116378115,0.13238202984534173,-0.023556545240824858
0.16,-0.5,0.1432621398165873,-0.1692662936770853,0.13292545813426307,-0.02016306692063961
0.16209405317259765,-0.49630662570932965,0.144411610147336,-0.164145029036264,0.13350115319180314,-0.016564604898293762
0.16424860033977104,-0.4925921811329716,0.1456046780998824,-0.15885625388542407,0.13408109866411017,-0.01296786207473565
0.16641864028786824,-0.48901790628967395,0.14681405545278955,-0.15352266209518672,0.13466541300322993,-0.009364509902768542
0.16865254771352609,-0.4854683789396162,0.1480437657188685,-0.1481453765525533,0.13527717304666073,-0.005587816141922765
0.1709282809450718,-0.48198001704067234,0.1492942821971722,-0.142840796487991,0.13589315576989763,-0.0018198679066602527
0.1732400492667673,-0.47865069687663314,0.150597111342141,-0.1374041299156928,0.13650992236918275,0.0019342016220659515
0.17562559856988352,-0.475362351899939,0.15189929012523856,-0.13191837203898257,0.1371412266489697,0.005795226139873615
0.1780423828948592,-0.47224541379518914,0.15324669992384984,-0.1263104742651147,0.13781603286025745,0.00993805360757418
0.18049343339193516,-0.4692432974522096,0.15460173560699847,-0.12078226224434267,0.13849660592272903,0.014103532473538252
0.18300684620211471,-0.4663160982827515,0.15599026296023058,-0.11510703119217205,0.13917800437417027,0.018186437527349168
0.18552384584417045,-0.46355680448809705,0.15737500337216823,-0.10950231155296201,0.13986774714550623,0.022354782961845232
0.18812403417606866,-0.4609716845170458,0.15878833684410454,-0.10385512624253304,0.14056351678439216,0.026524741352244034
0.19076069888554634,-0.4586202403167504,0.1602348621719754,-0.09814673846714031,0.14129762780978905,0.030925254319058206
0.19341915933022752,-0.45644396446395746,0.16171047826567292,-0.09234697764065575,0.14204673832286518,0.03534972181102716
0.19612662843989156,-0.4545547419662157,0.16323477037624706,-0.08642346541057264,0.14281304953028262,0.03990740444786555
0.19885485643141357,-0.45293357628719766,0.16475839389096886,-0.08059310619714932,0.14358799437293374,0.0444714731019128
0.20164198165557398,-0.45155587481623516,0.166328152177523,-0.07464621406991837,0.1443953034319534,0.04920685084743636
0.20446429864806157,-0.4503326634308542,0.16790844467802726,-0.06874404928719997,0.1452209368290326,0.053994127938896117
0.20727516115481273,-0.4493428910951574,0.16951356222080838,-0.06277329786167447,0.1460358176179047,0.05870008648341937
0.2102087055441314,-0.4487336140346324,0.17113351837811766,-0.05681535046143153,0.14689385521622605,0.06364826946478114
0.21317080141258588,-0.4484415562329354,0.17277423362131897,-0.05083382011336611,0.14776412094475744,0.06862976963471015
0.21615768236195976,-0.44828531289187656,0.17443105767949268,-0.04489453707506794,0.1486739175798494,0.07387748404279201
0.21910717122650034,-0.44849756790092477,0.17610959733516243,-0.03893190388983456,0.14960914505305023,0.07915311823247101
0.22209005840107976,-0.44902208939046434,0.1778066239835533,-0.032959127234323746,0.15057367264220325,0.08459425972203226
0.225051157605875,-0.44996289498277625,0.1795014552676024,-0.02706949770720789,0.15157002980524947,0.09015899989890849
0.22795989791547158,-0.4513124738685977,0.18122777993326877,-0.021208056038558104,0.15257656691672122,0.09579640209273335
0.23087042588754836,-0.45318633404523223,0.18294473424265922,-0.015377387700836277,0.1536015438931421,0.1014296599199068
0.2337073923931141,-0.45539994858909155,0.1846936625122184,-0.009557262063814395,0.15464882589461748,0.1071739790269741
0.23639576764883283,-0.4580579197542132,0.1864503423873278,-0.003710893043399269,0.1557420213735639,0.11308031031805227
0.2390137579258164,-0.46134363007481577,0.1875,0.0,0.15688390501947927,0.11923605560549594
0.24144783038767498,-0.46519772669751935,0.18926752150133197,0.005714998246849582,0.15804739366359438,0.12550853995440758
0.24374579421390738,-0.46980354644213695,0.19107185605266244,0.011505773351491763,0.15925776589115687,0.132028865118869
0.2457845340907614,-0.4750488580140439,0.19286570838367326,0.017169085180802936,0.16048156825147186,0.1384869629616375
0.24746807593241313,-0.48073167690761864,0.19467201222538144,0.022887723376127305,0.16173193373240605,0.14500515349312718
0.2488202360502483,-0.48735308941320354,0.19647540002971078,0.028447897463318095,0.16301862197330816,0.15167493603943777
0.24968680302637797,-0.4946762092856738,0.19825080658405472,0.03391782272387691,0.16433974879671615,0.15855281994841208
,,0.20001688097451922,0.0393057697334191,0.16571883262972412,0.16564859078337404
,,0.20179782136076627,0.044709493977609566,0.16714217714295412,0.17291880705084003
,,0.20358240786482396,0.050050011758499574,0.16857776550828,0.18018810867635046
,,0.20536900565223243,0.05535564748524944,0.17010213200481636,0.18790203168678818
,,0.20707776289904303,0.06034098003701452,0.17163715310150612,0.19555529170447483
,,0.20881043526516332,0.0654330733573954,0.17320582028188922,0.20331579656905374
,,0.21056180933089785,0.07038293783200564,0.17482469631292058,0.21131034947756203
,,0.21229367831367332,0.07535792368587699,0.1765083801830076,0.21955115131106223
,,0.21402788822971067,0.08024720856694052,0.17819836986123436,0.2277957767790685
,,0.2157269730452899,0.08505504443000188,0.17992937641556006,0.23612748984751605
,,0.2174380272280732,0.0898819310442167,0.18170699021407546,0.2446488221246607
,,0.21908651923884886,0.09451547147775866,0.18351775478007112,0.2532673416454147
,,0.22074442885317555,0.09914921532810735,0.18534490838451578,0.2618362129763478
,,0.22237989068639252,0.10373033123049029,0.1871781912780647,0.2704239651483269
,,0.22400294752017316,0.10825416443835775,0.18898603973382272,0.278828423218046
,,0.22556326523753442,0.11264060867634505,0.1908685576161266,0.28756855684003335
,,0.22710187159814213,0.11695442633597711,0.19273352238739533,0.2961176016117333
,,0.2286441477614596,0.12128116404226635,0.19460567930142994,0.3045917793391693
,,0.230136300211788,0.12556934555632962,0.19650595378002747,0.3130363119402417
